Ano;RO;AC;AM;RR;PA;AP;TO;MA;PI;CE;RN;PB;PE;AL;SE;BA;MG;ES;RJ;SP;PR;SC;RS;MS;MT;GO;DF;Total
2016;1787279;816687;4001667;514229;8305359;782295;1532902;6954036;3212180;8963663;3474998;3999415;9410336;3358963;2265779;15276566;20997560;3973697;16635996;44749699;11242720;6910553;11286500;2682386;3305531;6695855;2977216;206114067
2017;1805788;829619;4063614;522636;8366628;797722;1550194;7000229;3219257;9020460;3507003;4025558;9473266;3375823;2288116;15344447;21119536;4016356;16718956;45094866;11320892;7001161;11322895;2713147;3344544;6778772;3039444;207660929
2018;1757589;869265;4080611;576568;8513497;829494;1555229;7035055;3264531;9075649;3479010;3996496;9496294;3322820;2278308;14812617;21040662;3972388;17159960;45538936;11348937;7075494;11329605;2748023;3441998;6921161;2974703;208494900
